CPRO,PROVINCIA,code_mun,municipality,total,male,female,year
07,Illes Balears,021,Estellencs,399,211,188,2006
07,Illes Balears,022,Felanitx,16948,8742,8206,2006
07,Illes Balears,023,Ferreries,4476,2309,2167,2006
07,Illes Balears,024,Formentera,7957,4203,3754,2006
07,Illes Balears,025,Fornalutx,717,358,359,2006
07,Illes Balears,027,Inca,27301,13855,13446,2006
07,Illes Balears,028,Lloret de Vistalegre,1149,577,572,2006
07,Illes Balears,029,Lloseta,5375,2791,2584,2006
07,Illes Balears,030,Llubí,2042,1022,1020,2006
07,Illes Balears,031,Llucmajor,31381,15908,15473,2006
07,Illes Balears,032,Mahón,27893,13854,14039,2006
07,Illes Balears,033,Manacor,37165,18737,18428,2006
07,Illes Balears,034,Mancor de la Vall,991,492,499,2006
07,Illes Balears,035,Maria de la Salut,2141,1110,1031,2006
07,Illes Balears,036,Marratxí,29742,15121,14621,2006
07,Illes Balears,037,Mercadal (Es),4504,2336,2168,2006
07,Illes Balears,902,Migjorn Gran (Es),1503,742,761,2006
07,Illes Balears,038,Montuïri,2576,1304,1272,2006
07,Illes Balears,039,Muro,6717,3486,3231,2006
07,Illes Balears,040,Palma de Mallorca,375048,183443,191605,2006
07,Illes Balears,041,Petra,2744,1372,1372,2006
07,Illes Balears,044,Pobla (Sa),12122,6360,5762,2006
07,Illes Balears,042,Pollença,16398,8292,8106,2006
07,Illes Balears,043,Porreres,4848,2558,2290,2006
07,Illes Balears,045,Puigpunyent,1631,845,786,2006
07,Illes Balears,059,Salines (Ses),4502,2303,2199,2006
07,Illes Balears,046,Sant Antoni de Portmany,19673,10229,9444,2006
07,Illes Balears,049,Sant Joan,1853,938,915,2006
07,Illes Balears,050,Sant Joan de Labritja,4975,2579,2396,2006
07,Illes Balears,048,Sant Josep de sa Talaia,19224,10031,9193,2006
07,Illes Balears,051,Sant Llorenç des Cardassar,7738,3946,3792,2006
07,Illes Balears,052,Sant Lluís,6182,3135,3047,2006
07,Illes Balears,053,Santa Eugènia,1439,769,670,2006
07,Illes Balears,054,Santa Eulalia del Río,27152,13964,13188,2006
07,Illes Balears,055,Santa Margalida,10204,5260,4944,2006
07,Illes Balears,056,Santa María del Camí,5323,2653,2670,2006
07,Illes Balears,057,Santanyí,11172,5636,5536,2006
07,Illes Balears,058,Selva,3203,1631,1572,2006
07,Illes Balears,047,Sencelles,2743,1413,1330,2006
07,Illes Balears,060,Sineu,3133,1579,1554,2006
07,Illes Balears,061,Sóller,12847,6475,6372,2006
07,Illes Balears,062,Son Servera,10951,5589,5362,2006
07,Illes Balears,063,Valldemossa,1930,982,948,2006
07,Illes Balears,065,Vilafranca de Bonany,2573,1277,1296,2006
07,Balears (Illes),002,Alaior,8972,4551,4421,2007
07,Balears (Illes),001,Alaró,5018,2490,2528,2007
07,Balears (Illes),003,Alcúdia,17435,8981,8454,2007
07,Balears (Illes),004,Algaida,4527,2345,2182,2007
07,Balears (Illes),005,Andratx,10939,5520,5419,2007
07,Balears (Illes),901,Ariany,799,434,365,2007
07,Balears (Illes),006,Artà,6802,3449,3353,2007
07,Balears (Illes),007,Banyalbufar,591,328,263,2007
07,Balears (Illes),008,Binissalem,6773,3432,3341,2007
07,Balears (Illes),009,Búger,1062,536,526,2007
07,Balears (Illes),010,Bunyola,5792,2906,2886,2007
07,Balears (Illes),011,Calvià,47934,24091,23843,2007
07,Balears (Illes),012,Campanet,2562,1277,1285,2007
07,Balears (Illes),013,Campos,8759,4439,4320,2007
07,Balears (Illes),014,Capdepera,10885,5537,5348,2007
07,Balears (Illes),064,Castell (Es),7629,3889,3740,2007
07,Balears (Illes),015,Ciutadella de Menorca,28017,13987,14030,2007
07,Balears (Illes),016,Consell,3252,1637,1615,2007
07,Balears (Illes),017,Costitx,967,475,492,2007
07,Balears (Illes),018,Deyá,718,385,333,2007
07,Balears (Illes),026,Eivissa,44114,22585,21529,2007
07,Balears (Illes),019,Escorca,290,161,129,2007
07,Balears (Illes),020,Esporles,4640,2310,2330,2007
07,Balears (Illes),021,Estellencs,382,202,180,2007
07,Balears (Illes),022,Felanitx,17443,9021,8422,2007
07,Balears (Illes),023,Ferreries,4563,2365,2198,2007
07,Balears (Illes),024,Formentera,8442,4458,3984,2007
07,Balears (Illes),025,Fornalutx,722,359,363,2007
07,Balears (Illes),027,Inca,28306,14385,13921,2007
07,Balears (Illes),028,Lloret de Vistalegre,1182,602,580,2007
07,Balears (Illes),029,Lloseta,5493,2863,2630,2007
07,Balears (Illes),030,Llubí,2128,1067,1061,2007
07,Balears (Illes),031,Llucmajor,33222,16836,16386,2007
07,Balears (Illes),033,Manacor,37963,19108,18855,2007
07,Balears (Illes),034,Mancor de la Vall,1074,538,536,2007
07,Balears (Illes),032,Maó,28284,14020,14264,2007
07,Balears (Illes),035,Maria de la Salut,2095,1092,1003,2007
07,Balears (Illes),036,Marratxí,31120,15853,15267,2007
07,Balears (Illes),037,Mercadal (Es),4838,2520,2318,2007
07,Balears (Illes),902,Migjorn Gran (Es),1518,750,768,2007
07,Balears (Illes),038,Montuïri,2619,1324,1295,2007
07,Balears (Illes),039,Muro,6741,3498,3243,2007
07,Balears (Illes),040,Palma de Mallorca,383107,187750,195357,2007
07,Balears (Illes),041,Petra,2787,1397,1390,2007
07,Balears (Illes),044,Pobla (Sa),12141,6282,5859,2007
07,Balears (Illes),042,Pollença,16570,8387,8183,2007
07,Balears (Illes),043,Porreres,5052,2676,2376,2007
07,Balears (Illes),045,Puigpunyent,1702,871,831,2007
07,Balears (Illes),059,Salines (Ses),4755,2449,2306,2007
07,Balears (Illes),046,Sant Antoni de Portmany,19889,10368,9521,2007
07,Balears (Illes),049,Sant Joan,1866,943,923,2007
07,Balears (Illes),050,Sant Joan de Labritja,5198,2695,2503,2007
07,Balears (Illes),048,Sant Josep de sa Talaia,20136,10571,9565,2007
07,Balears (Illes),051,Sant Llorenç des Cardassar,8095,4137,3958,2007
07,Balears (Illes),052,Sant Lluís,6414,3266,3148,2007
07,Balears (Illes),053,Santa Eugènia,1489,798,691,2007
07,Balears (Illes),054,Santa Eulalia del Río,28361,14626,13735,2007
07,Balears (Illes),055,Santa Margalida,10608,5454,5154,2007
07,Balears (Illes),056,Santa María del Camí,5497,2771,2726,2007
07,Balears (Illes),057,Santanyí,11720,5938,5782,2007
07,Balears (Illes),058,Selva,3313,1687,1626,2007
07,Balears (Illes),047,Sencelles,2903,1506,1397,2007
07,Balears (Illes),060,Sineu,3248,1643,1605,2007
07,Balears (Illes),061,Sóller,13194,6655,6539,2007
07,Balears (Illes),062,Son Servera,11392,5795,5597,2007
07,Balears (Illes),063,Valldemossa,1976,1007,969,2007
07,Balears (Illes),065,Vilafranca de Bonany,2625,1315,1310,2007
07,Balears (Illes),002,Alaior,9133,4598,4535,2008
07,Balears (Illes),001,Alaró,5178,2577,2601,2008
07,Balears (Illes),003,Alcúdia,18327,9466,8861,2008
07,Balears (Illes),004,Algaida,4827,2515,2312,2008
07,Balears (Illes),005,Andratx,11348,5740,5608,2008
07,Balears (Illes),901,Ariany,839,456,383,2008
07,Balears (Illes),006,Artà,7113,3626,3487,2008
07,Balears (Illes),007,Banyalbufar,627,348,279,2008
07,Balears (Illes),008,Binissalem,7030,3562,3468,2008
07,Balears (Illes),009,Búger,1066,541,525,2008
07,Balears (Illes),010,Bunyola,5910,2970,2940,2008
07,Balears (Illes),011,Calvià,50777,25548,25229,2008
07,Balears (Illes),012,Campanet,2601,1307,1294,2008
07,Balears (Illes),013,Campos,9294,4727,4567,2008
07,Balears (Illes),014,Capdepera,11446,5861,5585,2008
07,Balears (Illes),064,Castell (Es),7724,3966,3758,2008
07,Balears (Illes),015,Ciutadella de Menorca,28696,14368,14328,2008
07,Balears (Illes),016,Consell,3413,1731,1682,2008
07,Balears (Illes),017,Costitx,1023,508,515,2008
07,Balears (Illes),018,Deyá,754,398,356,2008
07,Balears (Illes),026,Eivissa,46835,24217,22618,2008
07,Balears (Illes),019,Escorca,276,154,122,2008
07,Balears (Illes),020,Esporles,4696,2343,2353,2008
07,Balears (Illes),021,Estellencs,388,206,182,2008
07,Balears (Illes),022,Felanitx,17969,9374,8595,2008
07,Balears (Illes),023,Ferreries,4617,2372,2245,2008
07,Balears (Illes),024,Formentera,9147,4843,4304,2008
07,Balears (Illes),025,Fornalutx,732,370,362,2008
07,Balears (Illes),027,Inca,29450,15083,14367,2008
07,Balears (Illes),028,Lloret de Vistalegre,1249,637,612,2008
07,Balears (Illes),029,Lloseta,5655,2951,2704,2008
07,Balears (Illes),030,Llubí,2202,1109,1093,2008
07,Balears (Illes),031,Llucmajor,35092,17842,17250,2008
07,Balears (Illes),033,Manacor,39434,19929,19505,2008
07,Balears (Illes),034,Mancor de la Vall,1146,582,564,2008
07,Balears (Illes),032,Maó,28904,14357,14547,2008
07,Balears (Illes),035,Maria de la Salut,2161,1126,1035,2008
07,Balears (Illes),036,Marratxí,32380,16437,15943,2008
07,Balears (Illes),037,Mercadal (Es),5134,2662,2472,2008
07,Balears (Illes),902,Migjorn Gran (Es),1522,741,781,2008
07,Balears (Illes),038,Montuïri,2749,1407,1342,2008
07,Balears (Illes),039,Muro,7058,3652,3406,2008
07,Balears (Illes),040,Palma de Mallorca,396570,195026,201544,2008
07,Balears (Illes),041,Petra,2856,1417,1439,2008
07,Balears (Illes),044,Pobla (Sa),12455,6418,6037,2008
07,Balears (Illes),042,Pollença,16997,8622,8375,2008
07,Balears (Illes),043,Porreres,5272,2816,2456,2008
07,Balears (Illes),045,Puigpunyent,1763,910,853,2008
07,Balears (Illes),059,Salines (Ses),5049,2601,2448,2008
07,Balears (Illes),046,Sant Antoni de Portmany,21082,11058,10024,2008
07,Balears (Illes),049,Sant Joan,1956,995,961,2008
07,Balears (Illes),050,Sant Joan de Labritja,5468,2843,2625,2008
07,Balears (Illes),048,Sant Josep de sa Talaia,21304,11141,10163,2008
07,Balears (Illes),051,Sant Llorenç des Cardassar,8467,4355,4112,2008
07,Balears (Illes),052,Sant Lluís,6704,3399,3305,2008
07,Balears (Illes),053,Santa Eugènia,1562,840,722,2008
07,Balears (Illes),054,Santa Eulalia del Río,30364,15654,14710,2008
07,Balears (Illes),055,Santa Margalida,11207,5777,5430,2008
07,Balears (Illes),056,Santa María del Camí,5672,2854,2818,2008
07,Balears (Illes),057,Santanyí,12303,6263,6040,2008
07,Balears (Illes),058,Selva,3370,1721,1649,2008
07,Balears (Illes),047,Sencelles,3006,1547,1459,2008
07,Balears (Illes),060,Sineu,3398,1703,1695,2008
07,Balears (Illes),061,Sóller,13625,6886,6739,2008
07,Balears (Illes),062,Son Servera,11713,5947,5766,2008
07,Balears (Illes),063,Valldemossa,1977,1014,963,2008
07,Balears (Illes),065,Vilafranca de Bonany,2782,1381,1401,2008
07,Balears (Illes),002,Alaior,9257,4643,4614,2009
07,Balears (Illes),001,Alaró,5327,2629,2698,2009
07,Balears (Illes),003,Alcúdia,19071,9704,9367,2009
07,Balears (Illes),004,Algaida,5050,2632,2418,2009
07,Balears (Illes),005,Andratx,11685,5898,5787,2009
07,Balears (Illes),901,Ariany,872,461,411,2009
07,Balears (Illes),006,Artà,7411,3727,3684,2009
07,Balears (Illes),007,Banyalbufar,605,337,268,2009
07,Balears (Illes),008,Binissalem,7251,3625,3626,2009
07,Balears (Illes),009,Búger,1060,543,517,2009
07,Balears (Illes),010,Bunyola,6026,2996,3030,2009
07,Balears (Illes),011,Calvià,51774,26096,25678,2009
07,Balears (Illes),012,Campanet,2602,1290,1312,2009
07,Balears (Illes),013,Campos,9601,4883,4718,2009
07,Balears (Illes),014,Capdepera,11911,6059,5852,2009
07,Balears (Illes),064,Castell (Es),7892,4070,3822,2009
07,Balears (Illes),015,Ciutadella de Menorca,29160,14591,14569,2009
07,Balears (Illes),016,Consell,3515,1780,1735,2009
07,Balears (Illes),017,Costitx,1078,540,538,2009
07,Balears (Illes),018,Deyá,755,393,362,2009
07,Balears (Illes),026,Eivissa,48684,25131,23553,2009
07,Balears (Illes),019,Escorca,280,156,124,2009
07,Balears (Illes),020,Esporles,4808,2372,2436,2009
07,Balears (Illes),021,Estellencs,389,202,187,2009
07,Balears (Illes),022,Felanitx,18270,9489,8781,2009
07,Balears (Illes),023,Ferreries,4669,2388,2281,2009
07,Balears (Illes),024,Formentera,9552,5018,4534,2009
07,Balears (Illes),025,Fornalutx,758,381,377,2009
07,Balears (Illes),027,Inca,29308,14965,14343,2009
07,Balears (Illes),028,Lloret de Vistalegre,1275,659,616,2009
07,Balears (Illes),029,Lloseta,5704,2934,2770,2009
07,Balears (Illes),030,Llubí,2265,1134,1131,2009
07,Balears (Illes),031,Llucmajor,36078,18343,17735,2009
07,Balears (Illes),033,Manacor,40548,20494,20054,2009
07,Balears (Illes),034,Mancor de la Vall,1199,618,581,2009
07,Balears (Illes),032,Maó,29125,14453,14672,2009
07,Balears (Illes),035,Maria de la Salut,2150,1118,1032,2009
07,Balears (Illes),036,Marratxí,33348,16855,16493,2009
07,Balears (Illes),037,Mercadal (Es),5292,2747,2545,2009
07,Balears (Illes),902,Migjorn Gran (Es),1523,759,764,2009
07,Balears (Illes),038,Montuïri,2827,1445,1382,2009
07,Balears (Illes),039,Muro,7144,3658,3486,2009
07,Balears (Illes),040,Palma,401270,197436,203834,2009
07,Balears (Illes),041,Petra,2886,1431,1455,2009
07,Balears (Illes),044,Pobla (Sa),12766,6578,6188,2009
07,Balears (Illes),042,Pollença,17260,8720,8540,2009
07,Balears (Illes),043,Porreres,5428,2865,2563,2009
07,Balears (Illes),045,Puigpunyent,1867,942,925,2009
07,Balears (Illes),059,Salines (Ses),5270,2715,2555,2009
07,Balears (Illes),046,Sant Antoni de Portmany,21852,11489,10363,2009
07,Balears (Illes),049,Sant Joan,1962,986,976,2009
07,Balears (Illes),050,Sant Joan de Labritja,5541,2875,2666,2009
07,Balears (Illes),048,Sant Josep de sa Talaia,22171,11595,10576,2009
07,Balears (Illes),051,Sant Llorenç des Cardassar,8687,4442,4245,2009
07,Balears (Illes),052,Sant Lluís,6997,3560,3437,2009
07,Balears (Illes),053,Santa Eugènia,1663,879,784,2009
07,Balears (Illes),054,Santa Eulalia del Río,31314,16093,15221,2009
07,Balears (Illes),055,Santa Margalida,11537,5962,5575,2009
07,Balears (Illes),056,Santa María del Camí,5992,3008,2984,2009
07,Balears (Illes),057,Santanyí,12664,6457,6207,2009
07,Balears (Illes),058,Selva,3515,1777,1738,2009
07,Balears (Illes),047,Sencelles,3105,1593,1512,2009
07,Balears (Illes),060,Sineu,3520,1751,1769,2009
07,Balears (Illes),061,Sóller,13942,7049,6893,2009
07,Balears (Illes),062,Son Servera,12215,6179,6036,2009
07,Balears (Illes),063,Valldemossa,1995,1024,971,2009
07,Balears (Illes),065,Vilafranca de Bonany,2908,1457,1451,2009
07,Balears (Illes),002,Alaior,9399,4690,4709,2010
07,Balears (Illes),001,Alaró,5401,2644,2757,2010
07,Balears (Illes),003,Alcúdia,19112,9710,9402,2010
07,Balears (Illes),004,Algaida,5116,2679,2437,2010
07,Balears (Illes),005,Andratx,11682,5918,5764,2010
07,Balears (Illes),901,Ariany,876,471,405,2010
07,Balears (Illes),006,Artà,7549,3799,3750,2010
07,Balears (Illes),007,Banyalbufar,593,326,267,2010
07,Balears (Illes),008,Binissalem,7379,3658,3721,2010
07,Balears (Illes),009,Búger,1040,532,508,2010
07,Balears (Illes),010,Bunyola,6172,3056,3116,2010
07,Balears (Illes),011,Calvià,51462,25942,25520,2010
07,Balears (Illes),012,Campanet,2619,1279,1340,2010
07,Balears (Illes),013,Campos,9784,4970,4814,2010
07,Balears (Illes),014,Capdepera,11929,6067,5862,2010
07,Balears (Illes),064,Castell (Es),7926,4075,3851,2010
07,Balears (Illes),015,Ciutadella de Menorca,29247,14630,14617,2010
07,Balears (Illes),016,Consell,3677,1871,1806,2010
07,Balears (Illes),017,Costitx,1116,564,552,2010
07,Balears (Illes),018,Deyá,773,400,373,2010
07,Balears (Illes),026,Eivissa,49516,25479,24037,2010
07,Balears (Illes),019,Escorca,276,158,118,2010
07,Balears (Illes),020,Esporles,4900,2416,2484,2010
07,Balears (Illes),021,Estellencs,378,202,176,2010
07,Balears (Illes),022,Felanitx,18225,9369,8856,2010
07,Balears (Illes),023,Ferreries,4620,2347,2273,2010
07,Balears (Illes),024,Formentera,9962,5237,4725,2010
07,Balears (Illes),025,Fornalutx,703,354,349,2010
07,Balears (Illes),027,Inca,29321,14773,14548,2010
07,Balears (Illes),028,Lloret de Vistalegre,1295,662,633,2010
07,Balears (Illes),029,Lloseta,5750,2931,2819,2010
07,Balears (Illes),030,Llubí,2302,1139,1163,2010
07,Balears (Illes),031,Llucmajor,36681,18644,18037,2010
07,Balears (Illes),033,Manacor,40859,20583,20276,2010
07,Balears (Illes),034,Mancor de la Vall,1285,650,635,2010
07,Balears (Illes),032,Maó,29050,14323,14727,2010
07,Balears (Illes),035,Maria de la Salut,2187,1126,1061,2010
07,Balears (Illes),036,Marratxí,33883,17090,16793,2010
07,Balears (Illes),037,Mercadal (Es),5398,2768,2630,2010
07,Balears (Illes),902,Migjorn Gran (Es),1539,753,786,2010
07,Balears (Illes),038,Montuïri,2817,1425,1392,2010
07,Balears (Illes),039,Muro,7001,3582,3419,2010
07,Balears (Illes),040,Palma,404681,198840,205841,2010
07,Balears (Illes),041,Petra,2928,1454,1474,2010
07,Balears (Illes),044,Pobla (Sa),12831,6609,6222,2010
07,Balears (Illes),042,Pollença,16981,8553,8428,2010
07,Balears (Illes),043,Porreres,5531,2926,2605,2010
07,Balears (Illes),045,Puigpunyent,1938,977,961,2010
07,Balears (Illes),059,Salines (Ses),5234,2707,2527,2010
07,Balears (Illes),046,Sant Antoni de Portmany,22136,11621,10515,2010
07,Balears (Illes),049,Sant Joan,1958,971,987,2010
07,Balears (Illes),050,Sant Joan de Labritja,5477,2848,2629,2010
07,Balears (Illes),048,Sant Josep de sa Talaia,22871,12000,10871,2010
07,Balears (Illes),051,Sant Llorenç des Cardassar,8841,4504,4337,2010
07,Balears (Illes),052,Sant Lluís,7204,3639,3565,2010
07,Balears (Illes),053,Santa Eugènia,1595,822,773,2010
07,Balears (Illes),054,Santa Eulalia del Río,32637,16701,15936,2010
07,Balears (Illes),055,Santa Margalida,11626,5998,5628,2010
07,Balears (Illes),056,Santa María del Camí,6176,3106,3070,2010
07,Balears (Illes),057,Santanyí,12823,6566,6257,2010
07,Balears (Illes),058,Selva,3620,1839,1781,2010
07,Balears (Illes),047,Sencelles,3155,1606,1549,2010
07,Balears (Illes),060,Sineu,3619,1779,1840,2010
07,Balears (Illes),061,Sóller,14075,7105,6970,2010
07,Balears (Illes),062,Son Servera,12286,6192,6094,2010
07,Balears (Illes),063,Valldemossa,2037,1045,992,2010
07,Balears (Illes),065,Vilafranca de Bonany,2989,1504,1485,2010
07,"Balears, Illes",001,Alaró,5438,2672,2766,2011
07,"Balears, Illes",002,Alaior,9600,4805,4795,2011
07,"Balears, Illes",003,Alcúdia,19243,9770,9473,2011
07,"Balears, Illes",004,Algaida,5273,2742,2531,2011
07,"Balears, Illes",005,Andratx,11919,6029,5890,2011
07,"Balears, Illes",006,Artà,7553,3785,3768,2011
07,"Balears, Illes",007,Banyalbufar,592,335,257,2011
07,"Balears, Illes",008,Binissalem,7601,3786,3815,2011
07,"Balears, Illes",009,Búger,1047,534,513,2011
07,"Balears, Illes",010,Bunyola,6232,3098,3134,2011
07,"Balears, Illes",011,Calvià,52451,26375,26076,2011
07,"Balears, Illes",012,Campanet,2612,1269,1343,2011
07,"Balears, Illes",013,Campos,9862,4991,4871,2011
07,"Balears, Illes",014,Capdepera,11858,6039,5819,2011
07,"Balears, Illes",015,Ciutadella de Menorca,29315,14646,14669,2011
07,"Balears, Illes",016,Consell,3789,1941,1848,2011
07,"Balears, Illes",017,Costitx,1133,572,561,2011
07,"Balears, Illes",018,Deyá,752,385,367,2011
07,"Balears, Illes",019,Escorca,284,161,123,2011
07,"Balears, Illes",020,Esporles,4956,2447,2509,2011
07,"Balears, Illes",021,Estellencs,402,210,192,2011
07,"Balears, Illes",022,Felanitx,18482,9452,9030,2011
07,"Balears, Illes",023,Ferreries,4717,2405,2312,2011
07,"Balears, Illes",024,Formentera,10365,5444,4921,2011
07,"Balears, Illes",025,Fornalutx,698,354,344,2011
07,"Balears, Illes",026,Eivissa,49388,25340,24048,2011
07,"Balears, Illes",027,Inca,29966,15129,14837,2011
07,"Balears, Illes",028,Lloret de Vistalegre,1290,660,630,2011
07,"Balears, Illes",029,Lloseta,5703,2898,2805,2011
07,"Balears, Illes",030,Llubí,2299,1146,1153,2011
07,"Balears, Illes",031,Llucmajor,36959,18717,18242,2011
07,"Balears, Illes",032,Maó,28942,14255,14687,2011
07,"Balears, Illes",033,Manacor,40873,20598,20275,2011
07,"Balears, Illes",034,Mancor de la Vall,1324,662,662,2011
07,"Balears, Illes",035,Maria de la Salut,2204,1137,1067,2011
07,"Balears, Illes",036,Marratxí,34385,17331,17054,2011
07,"Balears, Illes",037,"Mercadal, Es",5408,2778,2630,2011
07,"Balears, Illes",038,Montuïri,2872,1458,1414,2011
07,"Balears, Illes",039,Muro,6970,3541,3429,2011
07,"Balears, Illes",040,Palma,405318,198634,206684,2011
07,"Balears, Illes",041,Petra,2919,1444,1475,2011
07,"Balears, Illes",042,Pollença,16114,8079,8035,2011
07,"Balears, Illes",043,Porreres,5544,2894,2650,2011
07,"Balears, Illes",044,"Pobla, Sa",12881,6619,6262,2011
07,"Balears, Illes",045,Puigpunyent,1970,979,991,2011
07,"Balears, Illes",046,Sant Antoni de Portmany,22299,11643,10656,2011
07,"Balears, Illes",047,Sencelles,3128,1595,1533,2011
07,"Balears, Illes",048,Sant Josep de sa Talaia,23688,12414,11274,2011
07,"Balears, Illes",049,Sant Joan,1985,982,1003,2011
07,"Balears, Illes",050,Sant Joan de Labritja,5351,2783,2568,2011
07,"Balears, Illes",051,Sant Llorenç des Cardassar,8963,4513,4450,2011
07,"Balears, Illes",052,Sant Lluís,7377,3726,3651,2011
07,"Balears, Illes",053,Santa Eugènia,1640,838,802,2011
07,"Balears, Illes",054,Santa Eulalia del Río,33734,17222,16512,2011
07,"Balears, Illes",055,Santa Margalida,11718,6019,5699,2011
07,"Balears, Illes",056,Santa María del Camí,6270,3125,3145,2011
07,"Balears, Illes",057,Santanyí,13095,6686,6409,2011
07,"Balears, Illes",058,Selva,3697,1867,1830,2011
07,"Balears, Illes",059,"Salines, Ses",5272,2683,2589,2011
07,"Balears, Illes",060,Sineu,3687,1833,1854,2011
07,"Balears, Illes",061,Sóller,14148,7147,7001,2011
07,"Balears, Illes",062,Son Servera,12195,6151,6044,2011
07,"Balears, Illes",063,Valldemossa,2007,1023,984,2011
07,"Balears, Illes",064,"Castell, Es",7990,4072,3918,2011
07,"Balears, Illes",065,Vilafranca de Bonany,2958,1480,1478,2011
07,"Balears, Illes",901,Ariany,883,479,404,2011
07,"Balears, Illes",902,"Migjorn Gran, Es",1526,750,776,2011
07,"Balears, Illes",002,Alaior,9610,4806,4804,2012
07,"Balears, Illes",001,Alaró,5508,2734,2774,2012
07,"Balears, Illes",003,Alcúdia,19586,9941,9645,2012
07,"Balears, Illes",004,Algaida,5367,2787,2580,2012
07,"Balears, Illes",005,Andratx,12149,6139,6010,2012
07,"Balears, Illes",901,Ariany,877,452,425,2012
07,"Balears, Illes",006,Artà,7629,3816,3813,2012
07,"Balears, Illes",007,Banyalbufar,560,316,244,2012
07,"Balears, Illes",008,Binissalem,7795,3885,3910,2012
07,"Balears, Illes",009,Búger,1015,514,501,2012
07,"Balears, Illes",010,Bunyola,6276,3113,3163,2012
07,"Balears, Illes",011,Calvià,51114,25660,25454,2012
07,"Balears, Illes",012,Campanet,2590,1267,1323,2012
07,"Balears, Illes",013,Campos,9964,5031,4933,2012
07,"Balears, Illes",014,Capdepera,11421,5822,5599,2012
07,"Balears, Illes",064,"Castell, Es",7962,4056,3906,2012
07,"Balears, Illes",015,Ciutadella de Menorca,29580,14795,14785,2012
07,"Balears, Illes",016,Consell,3861,1983,1878,2012
07,"Balears, Illes",017,Costitx,1159,589,570,2012
07,"Balears, Illes",018,Deyá,747,387,360,2012
07,"Balears, Illes",026,Eivissa,49768,25523,24245,2012
07,"Balears, Illes",019,Escorca,267,152,115,2012
07,"Balears, Illes",020,Esporles,4915,2425,2490,2012
07,"Balears, Illes",021,Estellencs,380,199,181,2012
07,"Balears, Illes",022,Felanitx,18388,9347,9041,2012
07,"Balears, Illes",023,Ferreries,4670,2374,2296,2012
07,"Balears, Illes",024,Formentera,10757,5635,5122,2012
07,"Balears, Illes",025,Fornalutx,692,352,340,2012
07,"Balears, Illes",027,Inca,30066,15174,14892,2012
07,"Balears, Illes",028,Lloret de Vistalegre,1346,681,665,2012
07,"Balears, Illes",029,Lloseta,5674,2859,2815,2012
07,"Balears, Illes",030,Llubí,2294,1141,1153,2012
07,"Balears, Illes",031,Llucmajor,36994,18729,18265,2012
07,"Balears, Illes",033,Manacor,40831,20500,20331,2012
07,"Balears, Illes",034,Mancor de la Vall,1330,662,668,2012
07,"Balears, Illes",032,Maó,28972,14296,14676,2012
07,"Balears, Illes",035,Maria de la Salut,2152,1103,1049,2012
07,"Balears, Illes",036,Marratxí,34583,17387,17196,2012
07,"Balears, Illes",037,"Mercadal, Es",5396,2749,2647,2012
07,"Balears, Illes",902,"Migjorn Gran, Es",1539,758,781,2012
07,"Balears, Illes",038,Montuïri,2855,1451,1404,2012
07,"Balears, Illes",039,Muro,6963,3527,3436,2012
07,"Balears, Illes",040,Palma,407648,199491,208157,2012
07,"Balears, Illes",041,Petra,2908,1439,1469,2012
